Quellzeile,Autor/Herausgeber,Erscheinungsjahr,Titel (Auflage),Ort,Vermerk im Buch,Standort (Raum),Regal,Fach,Anzahl des Exemplares in Thulb,Seitenanzahl,Teil von (Buchreihe etc)
2,"Admoni, Vladimir",1966,Der deutsche Sprachbau,,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,verfügbar in verschiedenen Auflagen (GER:ND:0052:Adm::1982)(2021 A 1302),284,
3,"Alanne, Eero",1950,Die deutsche Weinbauterminologie in althochdeutscher und mittelhochdeutscher Zeit mittelhochdeutscher Zeit mittelhochdeutscher Zeit,Helsinki,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (8 R 198B :65.1)(8 Diss.Helsinki 1949/50(2)),248,
4,"Ammer, Karl",1958,Einführung in die Sprachwissenschaft Band 1,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (	2002 A 2990),212,
5,"Andresen, Karl Gustav",1898,Sprachgebrauch und Sprachrichtigkeit im Deutschen,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"verfügbar in verschiedenen Auflagen, auch als E-Book (8 Gl.IX,223/5)(8 Gl.IX,223/8)(2003 A 3088)",468,
6,"Apresjan, Ju. D.",1971,Ideen und Methoden der modernen strukturellen Linguistik,Berlin,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,zwei Ausgaben verfügbar (71 A 902)(ASW:AD:2530:Apr::1971),303,
7,"Arens, Hans",1955,Sprachwissenschaft - Der Gang ihrer Entwicklung von der Antike bis zur Gegenwart,Freiburg (Breisgau),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,verfügbar in verschiedenen Auflagen (GER:LA:0259:Are::1969)(2012 NA 7803),568,
8,"Bach, H.",1943,"Die thüringisch-sächsische Kanzlersprache bis 1325 - 2. Teil: druckschwache Silben, Konsonantismus, Formenlehre",Kopenhagen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,192,
9,"Bach, Adolf",1930,Die nassauische Sprachlandschaft,Bonn,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (GER:UB:0408:Bac::1930)(8 Boruss.VI,1/22 :15)",57,
10,"Bacher, Josef",1905,Die deutsche Sprachinsel Lusern,Innsbruck,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Austr.II,10/20 :10)",440,
11,"von Bahder, Karl",1880,Über ein vokalisches Problem des Mitteldeutschen,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (Ltz 439),46,
12,"Barden, Birgit & Großkopf, Beate / Haas, Walter & Wagener, Peter",1998,Sprachliche Akkomodation und soziale Integration - Sächsische Übersiedler und Übersiedlerinnen im rhein-/moselfränkischen und allemannischen Sprachraum,Tübingen,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,404,Phonai Band 43
13,"Bach, Adolf",1953,Geschichte der deutschen Sprache,Heidelberg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,verfügbar in verschiedenen Auflagen (8 M 15397),308,
14,"Baldinger, Kurt",1957,Die Semasiologie - Versuch eines Überblicks,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (2002 SA 697)",40,
15,"Bannert, Robert",1976,Mittelbairische Phonologie auf akustischer und perzeptorischer Grundlage,Malmö,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,172,
16,"Baumgärtner, Klaus",1959,Zur Syntax der Umgangssprache in Leipzig,Berlin,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (8 R 773 :14)",131,
17,"Becker, Horst",1933,Mundart und Geschichte im Osterzgebirge,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (8 Gl.IX,110/135 :6)",67,
18,"Behaghel, Otto",1953,Die deutsche Sprache,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,neuere Auflage verfügbar (GER:ME:1000:A5::1911)(2001 A 263),308,
19,"Steinitz, Wolfgang",1952,Beiträge aus der sowjetischen Sprachwissenschaft Folge 1,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (8 R 75 :13),156,
20,"Bellmann, Günter",1986,Beiträge zur Dialektologie am Mittelrhein,Stuttgart,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,284,
21,"Benesch, Irmfried",1938,Lautgeographie der Schönhengster Mundarten,Brünn,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Gl.IX,241 :3)",186,
22,"Beranek, Franz J.",1955,Mitteilungen aus dem Arbeitskreis für Jiddistik,Butsbach,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,in einem Zeitschriftenband vorhanden (8 Z 1796 :1.1955/59),92,
23,"Bergmann, Gunter",1965,Das Vorerzgebirgische - Mundart und Umgangssprache im Industriegebiet um Karl-Marx-Stadt bis Zwickau,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,Kartenband,
24,"Bergmann, Gunter",1964,Mundarten und Mundartforschung ,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (GER:MB:1000:::1964)(8 S 8809),88,
25,"Bergmann, Erhard",1970,Wörterbuch der Mundart im Kreise Gablonz,Schwäbisch Gmünd,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,161,
26,"Berthold, L.",1955,Das wortgeographische Prinzip in den deutschen Mundartwörterbüchern,Louvain,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,415 - 427,Orbis No 2
27,"Berthold, Luise",1955,Verstöße gegen die Lautgesetze und ihre Gründe,nicht vorhanden,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,55 - 68,
28,"Bertsch, Albert",1938,Wörterbuch der Kunden- und Gaunersprache,Berlin,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Gl.IX,230/28)",130,
29,"Vetter, Walter",1937,Die persönlichen Fürwörter im thüringischen Sprachraum ,Weimar,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (2005 SA 2775),64,
30,"Bielfeldt, Hans Holm",1965,Die Entlehnungen aus den verschiedenen slavischen Sprachen im Wortschatz der neuhochdeutschen Schriftsprache,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (8 R 66c :1965.1)",59,
31,"Bielfeldt, Hans Holm",1933,Lautlehre der deutschen Lehnwörter im Obersorbischen,Gräfenhainichen,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,86,
32,"Bischoff, Karl",1954,Elbostfälische Studien,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,zweimal verfügbar (GER:UB:0530:Bis::1954)(8 R 685 :14),153,"Mitteldeutsche Studien Hrsg. Frings, Bischoff (14)"
33,"Bischoff, Karl",1935,Studien zur Dialektgeographie des Elbe-Saale-Gebietes in den Kreisen Calbe und Zerbst,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal vorhanden (8 Gl.IX,110/80 :36.1)",207,Deutsche Dialektgeographie Hrsg. Wrede
34,"Bischoff, Johannes E.",1994,Lexikon deutscher Hugenotten-Orte,Bad Karlshafen,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,313 + Heft mit dazugehörigen Karten,
35,"Bischoff, Karl",1935,Volkssprache an Elbe und Saale,Barbn,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,47,
36,"Bischoff, Karl",1957,Zur Geschichte des Niederdeutschen südlich der ik/ich-Linie zwischen Harz und Saale,Berlin,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (8 R 99B :102,6)",47,Berichte über die Verhandlungen der sächsischen Akademie der Wissenschaften zu Leipzig Heft 6
37,"Bischoff, Karl",1958,Sprachliche Beziehungen zwischen Niederdeutschem Altland und Neuland im Bereich der mittleren Elbe,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (8 R 99B :103.4)",53,Berichte über die Verhandlungen der sächsischen Akademie der Wissenschaften zu Leipzig Heft 4
38,"Bischoff, Karl",1933,Studien zur Dialektgeographie der Kreise Calbe (Saale) und Zerbst (Anhalt),Marburg,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Gl.IX,110/80 :36.1)",32,
39,"Bischoff, Karl",1967,Sprache und Geschichte an der mittleren Elbe und der unteren Saale,"Köln, Graz",FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (ARC:DW:990:::1967)(8 R 752 :52),307,Mitteldeutsche Forschungen Bd. 52
40,"Bischoff, Karl",1977,Akener Wörterbuch,"Köln, Wien",FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (93 A 835/1),189,Mitteldeutsche Forschungen Bd. 82
41,"Blöcher, Elsa",1985,Beiträge zur Geschichte des Hinterlandes,Biedenkopf,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,482,
42,"Blumenstock, Friedrich",1911,Die Mundart von Klein-A….nerspann OA Gerabronn,Tübingen,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,82,
43,"Bohnenberger, Karl",1928,Über Ostgrenze des alemannischen - Tatsächliches und grundsätzliches,Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,75 + 1 Karte,
44,"Böcher, Otto",1985,Kleines Lexikon des studentischen Brauchtums,Lahr/Schwarzwald,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,zwei Auflagen (HIS:AB:270:::1985)(HIS:AB:270:::2001),48,
45,"Bohnenberger, Karl",1928,Die Mundarten Württembergs,Stuttgart,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,als E-Book,112,Schwäbische Volkskunde Hrsg. Lämmle (4. Buch)
46,"Bock, Gudrun",1965,Die Mundart von Waldau bei Schleusingen,Köln/Graz,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (95 A 4263/1),94 + Kartenverzeichnis,Mitteldeutsche Forschungen (Bd. 35)
47,"Bopp, Franz",1853,Über die Sprache der alten Preußen in ihren verwandtschaftlichen Beziehungen,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,55,
48,"Borchers, Erich",1927,Sprach- und Gründungsgeschichte der erzgebirgischen Kolonie im Oberharz,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Gl.IX,110/80 :22)",148,Deutsche Dialektgeographie Hrsg. Wrede (Heft 22)
49,"Böttger, Oswin",1904,Der Satzbau der erzgebirgischen Mundart,Halle (Saale),Sprachwissenschaftliches Seminar Universität Jena,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,178,
50,"Brandstetter, Renward",1904,Der Genitiv der Luzerner Mundart in Gegenwart und Vergangenheit,Zürich,Sprachwissenschaftliches Seminar Universität Jena,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,78,Abhandlungen Hrsg. Gesellschaft für deutsche Sprache in Zürich (Heft 10)
51,"Brandt, Gisela",1988,"Volksmassen, sprachliche Kommunikation, Sprachentwicklung unter den Bedingungen der frühbürgerlichen Revolution (1517-1526)",Berlin,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (GER:MN:1500:::1988)(89 A 353)",247,
52,"Braune, Wilhelm",1913,Abriss der althochdeutschen Grammatik mit Berücksichtigung des Altsächsischen (5. Aufl.),Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"verfügbar in verschiedenen Auflagen (Ltz 250)(2009 SA 1720)(8 Gl.I,213/15H)(8 Gl.I,213/15G :1)",66,
53,"Braun, Hermann",1938,Wortgeographie des historischen Egerlandes ,Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Gl.IX,110/135 :16)",228,Mitteldeutsche Studien Hrsg. Frings (12)
54,"Braun, Barbara",1942,Wortgeographie schlesischer Pflanzennamen,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Gl.IX,110/135 :18)",113 + Kartenverzeichnis,
55,"Braune, Wilhelm",1949,Althochdeutsches Lesebuch (11. Aufl.),Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"verfügbar in verschiedenen Auflagen (8 Gl.IX,181/8)(8 Gl.IX,181/12)(2001 A 716)(GER:EA:4410:::1949)(8 Gl.IX,181/15)(GER:EA:4410:Bra::1994:)(2023 NA 2450)(GER:EA:4410:::1962)",243,
56,"Braune, Wilhelm",1947,Gotische Grammatik mit Lesestücken  und Wortverzeichnis,Halle (Saale),Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"verfügbar in verschiedenen Auflagen (GER:MH:1000:A12::1947)(2001 A 1019)(GER:MH:1000:A11::1939)(GER:MH:1000:)(8 Gl.I,213/13L)",192,Sammlungen kurzer Grammatiken germanischer Dialekte Hrsg. Helm (Nr. 1)
57,"Bräutigam, Kurt",1934,Die Mannheimer Mundart,Heidelberg,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,144,
58,"Bredtmann, Hermann",1938,Die Belberter Mundart - Ein kurzer Abriss der Laut- und Formenlehre nebst einem Wörterverzeichnis,Wuppertal-Elberfeld,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,131,
59,"Bremer, Otto",1918,Deutsche Lautkunde - Hilfsbüchlein für den Unterricht in den oberen Klassen der höheren Lehranstalten,Leipzig,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar (8 Gl.IX,106/38)",82,
60,"Brenner, Oscar",1902,Die lautlichen und geschichtlichen Grundlagen unserer Rechtschreibung,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar, auch als E-Book (8 Gl.IX,73/45(7))",68,
61,"Brettschneider, Anneliese",1934,Die Heliandheimat und ihre sprachgeschichtliche Entwicklung,Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar (8 Gl.IX,110/80 :30)",322,Deutsche Dialektgeographie Hrsg. Wrede (Heft 30)
62,"Brettschneider, Anneliese",1934,Deutsche Mundartenkunde,Marburg,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar (8 Gl.IX,169/21)",104,
63,"Bretz, Gerda",1977,"Die mundartliche Fachsprache der Spinnerei und Weberei in Heltau, Siebenbürgen in ihren räumlichen, zeitlichen und sachlichen Bezügen",Hamburg,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,198,
64,"Breznik, Pavel",1935,"1. Die Mundart der hochdeutschen Ansiedelung Franztal in Jugoslawien, 2. Zur Heimatfrage der Siebenbürger Sachsen",Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,77,
65,"Brockmans, Anna Luise",1939,Untersuchungen zu den Haustiernamen des Rheinlands,Bonn,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar (8 Boruss.VI,1/22)",80,
66,"Bromm, Ernst/ Corell, Hans",1936,"Studien zur Dialektgeographie der Kreise Marburg, Kirchhain, Frankenberg/ Studien zur Dialektgeographie der ehemaligen Grafschaft Ziegenhain und benachbarter Gebietsteile",Marburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,verfügbar in einem Zeitschriftenband ,215,Deutsche Dialektgeographie Hrsg. Wrede (Heft 7)
67,"Bruch, Robert",1953,Grundlegung einer Geschichte des Luxemburgischen,Luxemburg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,einmal verfügbar (8 R 815 :1),"262, 154 (zweiteilig)",
68,"Busemann, A",1925,Die Sprache der Jugend als Ausdruck der Entwicklungsrhythmik,Jena,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar (8 Ph.VII,169/220 :2)",98,
69,"Bubner, Rudolf Helmut",1928,Untersuchungen zur Dialektgeographie des Berrgischen Landes zwischen Agger und Dhünn,Marburg,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,40,
70,"Brunner, Karl",1951,Die Englische Sprache - ihre geschichtliche Entwicklung (2. Band),Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,dreimal verfügbar (2001 A 1816 :2)(ANG:FC:231:Bru::1984)(8 R 153B :6.2),423,Sammlung kurzer Grammatiken germanischer Dialekte Hrsg. Helm (Nr. 6)
71,"Brunner, Karl",1950,Die Englische Sprache - ihre geschichtliche Entwicklung (1. Band),Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,dreimal verfügbar (ANG:FC:231:Bru::1984)(2001 A 1816 :1)(8 R 153B :6.1),352,Sammlung kurzer Grammatiken germanischer Dialekte Hrsg. Helm (Nr. 6)
72,"Brandis, Eduard",1893,"Zur Lautlehre der Erfurter Mundart, II.",Erfurt,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,im Magazin (2018 SA 2297),18,
73,"Brunner, Karl",1948,Abriss der mittelenglischen Grammatik (2. Aufl.),Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"verschiedene Auflagen, u.a. auch 2. Aufl. (8 Gl.I,13/15B :6)",114,
74,"Buchda, Gerhard",1971,Die Schöffenspruchsammlung der Stadt Pössneck Teil IV Wort- und Sachregister,Weimar,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,einmal verfügbar (HIS:UO:148:a:(10):1971)(2005 A 6200 :4),377,Thüringische Archivstudien Band 10
75,"Corell, Hans",1914,Studien zur Dialektgeographie der ehemaligen Grafschaft Ziegenhain und benachbarter Gebietsteile,Marburg,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,verfügbar in einem Zeitschriftenband ,64,
76,"Christmann, E.",1927,Der Lautbestand des Rheinfränkischen und sein Wandel in der Mundart von Kaulbach (Pfalz),Speyer am Rhein,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar (4 Hist.lit.VII,58/50 :2)",108,
77,"Christmann, E.",1931,"Sprachbewegungen in der Pfalz - Richtungen und Schranken, Restformen und Restgebiete",Speyer am Rhein,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar (4 Hist.lit.VII,58/50 :19)",104,
78,"Dahlberg, Torsten",1941,Studien über den Wortschatz Südhannovers - Erläuterungen zu Georg Schambachs Wörterbuch der Fürstentümer Göttingen und Grubenhagen,Lund,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,110 + 86 Karten Anhang,Lunder Germanistische Forschungen 11
79,Deutscher Abend in Halle,1894,Studentensprache und Studentenlied in Halle vor hundert Jahren,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"verfügbar, auch als E-Book (8 Gl.IX,230/8)",127,
80,"Diedrichs, Elisabeth",1952,Die Schlüsselblume - Untersuchungen zum Deutschen Wortatlas,Giessen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,92,
81,"Diegritz, Theodor",1971,Lautgeographie des westlichen Mittelfrankens,Neustadt an der Aisch,Universitätsbibliothek Jena,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,einmal verfügbar (2011 A 4804),383 + Karten im Anhang,Schriften des Instituts für fränkische Landesforschung n der Universität Erlangen-Nürnberg Band 14
82,"Dingelden, Hugo",1910,"Ethmologisches Fachwörterbuch zur Mathematik, Physik, Chemie und Mineralogie",Breslau,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,57,
83,"Dunger, Hermann",1870,Ueber Dialect und Volkslied des Vogtlands,Plauen im Vogtland,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,24,
84,"Dusanek, Helena",1978,"Vergleichende Untersuchungen an Kindern über das Erkennen von Begriffen bei hochdeutscher, schwäbischer, hessischer und hamburgischer Sprachweise unter Verwendung eines Audio-visuellen Tests",Prag,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,47,
85,"Eckhardt, Olga",1937,Die Sportsprache von Nürnberg und Fürth - Eine volkssprachliche Untersuchung,Erlangen,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,64,
86,"Ehret, Karl",1911,Lautlehre der Mundart von St. Georgen im Breisgau,Freiburg (Breisgau),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,als E-Book,62,
87,"Eilenberger, Rudolf",1910,"Pennälersprache - Entwicklung, Wortschatz und Wörterbuch",Straßburg,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"zweimal verfügbar, auch als E-Book (2010 SA 1829)",68,
88,"Eis, Gerhard",1958,Historische Laut- und Formenlehre des Mittelhochdeutschen,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,dreimal verfügbar  (2001 A 837)(GER:ML:3000:Eis::1958)(8 M 15276),160,
89,"Engelmann, Walter",1915,Der Vokalismus der Mundarten im Gebiete um Rudolstadt unter Zugrundelegung der Mundart von Kirchhasel,Borna-Leipzig,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,einmal verfügbar (2005 J 358),55,
90,"von Essen, Otto",1964,Kirchwerder bei Hamburg,Göttingen,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,77,Lautbibliothek der deutschen Mundarten 33/34
91,"von Essen, Otto",1953,Allgemeine und angewandte Phonetik,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"in verschiedenen Auflagen verfügbar, u.a. 1. Aufl. (8 M 5660)",168,
92,"Eckardt, Guido",1911,Wie man in Riga spricht,Riga,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,als E-Book,47,
93,,,Die Mundart von Ehningen a. D. ,,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,17,
94,,,Die Mundart von Ehningen a. D. ,,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,17,
95,"Feudel, Günter (Hrsg.)",1977,Existenzformen germanischer Sprachen - soziale Basis und typologische Kennzeichen,Berlin,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"zweimal verfügbar, auch als E-Book (GER:MJ:1500:::1977)(77 A 3496)",160,
96,"Faulseit, Dieter",1975,Das Fachwort in unserem Sprachalltag,Leipzig,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,zweimal verfügbar (GER:W0:8000:c::1975)(76 A 49),116,
97,"Faber, Georg",1912,Der Vokalismus der Mundarten am nördlichen Pfahlgraben,Darmstadt,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,39 + Karte,
98,"Feller, Otto",1914,Das Fürwort in der Mundart von Gerolzhofen (Ufr.) - Ein Beitrag zur Syntax der ostfränkischen Mundarten,Würzburg,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,52,
99,"Feist, Sigmund",1924,Indogermanen und Germanen - Ein Beitrag zur europäischen Urgeschichtsforschung (3.Aufl.),Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"zweimal verfügbar, u.a. 3. Aufl.( IDG:EU:8500:Fei::1924) (8 Gl.I,218/57)",156,
100,"Fishman, Joshua A.",1968,Readings in the Sociology of Language,Paris,Universitätsbibliothek Jena,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"einmal verfügbar, auch als E-Book (69 A 1602)",808,
101,"Flämig, Walter",1959,Zum Konjunktiv in der deutschen Sprache der Gegenwart - Inhalte und Gebrauchsweisen,Berlin,Institut für Sprachpflege und Wortforschung der FSU Jena,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,"zweimal verfügbar, auch als E-Book (2002 A 3080)(8 R 773 :15)",188,
102,"Fischer, Rudolf",1962,August Schleicher zur Erinnerung,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,52,
103,"Fischer, Ludwig",1927,Der Stammsilben-Vokalismus der Mundart des Luzerner Gäus,Frauenfeld,FSU Jena Sektion Sprachwissenschaft Fachbereich Deutsch Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,2. von oben,x,120,
